application_id,post_id,seller_id,apply_date,apply_price
1,188,83,2025-04-10 23:32:11,58348
2,188,104,2025-04-08 23:32:11,62565
3,2,48,2025-06-17 23:32:11,132902
4,134,114,2024-10-22 23:32:11,53272
5,40,137,2024-09-01 23:32:11,88782
6,155,119,2024-10-17 23:32:11,133669
7,51,67,2025-06-11 23:32:11,45595
8,182,73,2024-11-28 23:32:11,136366
9,180,10,2025-06-22 23:32:11,82622
10,7,27,2025-02-02 23:32:11,96801
11,134,105,2024-10-23 23:32:11,54507
12,74,95,2025-02-14 23:32:11,102168
13,153,132,2024-10-18 23:32:11,107343
14,193,129,2025-06-06 23:32:11,58076
15,45,131,2024-11-19 23:32:11,125990
16,148,116,2024-09-05 23:32:11,115108
17,171,116,2025-04-16 23:32:11,101422
18,188,46,2025-04-09 23:32:11,55435
19,7,70,2025-02-02 23:32:11,98652
20,185,47,2025-06-03 23:32:11,73181
21,25,149,2025-04-17 23:32:11,153520
22,180,40,2025-06-21 23:32:11,72842
23,84,61,2024-10-15 23:32:11,96026
24,85,55,2025-06-29 23:32:11,96912
25,186,102,2025-03-20 23:32:11,97321
26,100,2,2025-02-10 23:32:11,152187
27,83,30,2025-03-26 23:32:11,112956
28,134,90,2024-10-31 23:32:11,62225
29,106,125,2025-03-05 23:32:11,87033
30,163,103,2025-06-10 23:32:11,70345
31,192,31,2025-05-04 23:32:11,102608
32,2,22,2025-06-17 23:32:11,156356
33,2,65,2025-06-18 23:32:11,134818
34,88,149,2025-07-04 23:32:11,101998
35,173,8,2024-07-29 23:32:11,134820
36,22,90,2025-04-02 23:32:11,67227
37,143,78,2025-02-24 23:32:11,152705
38,188,14,2025-04-08 23:32:11,71930
39,88,27,2025-07-16 23:32:11,120797
40,52,60,2025-07-13 23:32:11,126266
41,97,49,2025-06-20 23:32:11,58979
42,39,47,2024-09-10 23:32:11,74212
43,8,59,2024-10-26 23:32:11,82242
44,22,14,2025-04-03 23:32:11,66703
45,69,119,2024-08-10 23:32:11,159652
46,192,81,2025-05-03 23:32:11,119180
47,174,122,2025-05-02 23:32:11,83306
48,104,125,2025-06-30 23:32:11,124673
49,80,65,2024-10-01 23:32:11,85133
50,15,58,2024-11-18 23:32:11,77726
51,140,68,2024-12-16 23:32:11,109014
52,160,144,2025-02-08 23:32:11,79399
53,158,28,2024-09-01 23:32:11,67435
