review_id,post_id,match_id,overall_rating,kindness_rating,skill_rating,carefulness_rating,hygiene_rating
1,10,23,3.3,4.5,4.2,4.7,3.0
2,116,5,3.8,3.8,2.6,4.5,4.1
3,103,71,2.4,3.3,4.2,3.6,3.6
4,146,36,4.7,3.7,3.4,3.6,4.5
5,39,56,2.8,3.1,4.8,4.7,4.3
6,119,93,2.6,3.4,3.7,5.0,3.1
7,147,27,3.5,3.5,5.0,4.1,4.0
8,12,30,4.7,4.7,5.0,3.3,5.0
9,39,56,4.7,3.0,4.5,4.3,4.2
10,181,32,4.0,4.6,4.3,3.6,4.4
11,12,30,5.0,3.1,4.0,4.6,4.9
12,181,32,3.5,3.8,5.0,4.1,3.7
13,181,32,3.3,3.7,5.0,4.3,2.7
14,91,64,4.4,4.4,4.8,3.9,3.7
15,181,32,4.0,3.7,3.5,4.2,5.0
16,182,22,3.8,4.3,3.8,3.6,3.5
17,97,14,4.6,3.2,4.2,2.9,3.6
18,39,92,2.8,3.4,5.0,3.8,4.2
19,116,80,3.6,3.4,4.5,2.9,4.5
20,160,28,3.7,4.9,4.1,4.2,4.2
21,182,22,2.4,4.3,3.7,4.3,4.5
22,132,47,5.0,4.2,2.7,4.8,3.1
23,119,93,3.9,3.5,3.6,4.8,3.6
24,116,80,4.2,5.0,3.8,2.9,3.8
25,10,23,2.8,4.1,3.7,3.3,4.0
26,181,32,2.6,3.3,4.7,4.4,3.3
27,181,32,2.9,4.2,4.9,3.7,3.1
28,160,28,5.0,3.3,3.9,3.9,5.0
29,140,59,5.0,2.8,3.4,5.0,4.1
30,123,20,4.7,4.2,3.4,3.8,3.8
31,117,76,4.0,3.9,3.6,3.7,4.6
32,39,56,3.6,4.4,3.7,3.5,3.9
33,116,80,3.4,4.4,2.5,4.5,4.2
34,199,54,3.8,4.3,4.0,5.0,2.7
35,12,30,5.0,3.6,4.9,3.7,3.3
36,10,23,3.2,3.8,3.9,4.9,4.2
37,18,46,3.2,4.0,3.3,4.7,3.3
38,182,22,3.9,5.0,5.0,2.0,3.6
39,162,88,3.1,2.8,3.4,4.1,3.4
40,122,98,3.5,2.9,4.6,3.8,3.7
41,18,46,4.0,3.5,4.5,4.5,4.1
42,122,98,4.7,3.4,3.2,2.3,5.0
43,115,55,3.0,3.3,5.0,4.3,4.1
44,39,56,3.8,5.0,4.1,3.6,4.5
45,117,76,4.8,3.8,4.2,2.9,5.0
46,140,77,5.0,3.3,4.2,3.0,5.0
47,18,15,2.9,4.0,4.6,4.7,4.6
48,116,5,2.9,4.4,3.6,4.7,5.0
49,18,46,3.9,3.8,5.0,4.5,3.7
50,56,51,4.1,3.5,4.3,5.0,2.6
51,158,82,3.5,4.7,3.7,3.6,2.0
52,65,39,3.2,4.7,4.2,3.6,2.3
53,58,26,4.6,4.4,3.4,3.3,4.5
54,115,75,3.4,4.9,4.6,3.1,3.8
55,12,30,4.5,3.5,3.9,5.0,4.1
56,12,30,3.6,2.7,3.6,3.3,3.6
57,115,55,4.5,3.4,4.0,3.8,3.8
58,140,77,3.4,2.4,5.0,3.9,5.0
59,18,15,4.4,5.0,2.1,5.0,4.4
60,71,10,3.1,4.5,4.6,5.0,4.7
